,LEAD_TYPE_CD,Lead Description,product_nm,PROPOSITION
258,NVT05,PHub Nav Tiles Existing Car Finance message,Car Finance,Nav Tiles Asset Finance
259,NVT05,PHub Nav Tiles Existing Car Finance message,Car Finance,Nav Tiles Asset Finance
260,NVT06,PHub Nav Tiles Existing Credit cards message,Credit Cards,Product Hub List Credit Card Message
261,NVT06,PHub Nav Tiles Existing Credit cards message,Credit Cards,Product Hub List Credit Card Message
262,NVT10,PHub Nav Tiles Existing Loans - acquisiton (no loan held) message,Loans - New,Product Hub List Loan and Car Message
263,NVT10,PHub Nav Tiles Existing Loans - acquisiton (no loan held) message,Loans - New,Product Hub List Loan and Car Message
264,NVT11,PHub Nav Tiles Existing Loans - refinance (customer holds loan) message,Loans - New,Nav Tiles Loan Refinance
265,NVT11,PHub Nav Tiles Existing Loans - refinance (customer holds loan) message,Loans - New,Nav Tiles Loan Refinance
266,NVT12,PHub Nav Tiles Mortgages message,Mortgages Application,Product Hub List Mortgages Message
267,NVT12,PHub Nav Tiles Mortgages message,Mortgages Application,Product Hub List Mortgages Message
268,OCF04,Asset Finance Car Loan - Acq,Car Finance,Asset Finance Car Loan - Acquisition
269,OCF08,Asset Finance Car Loan - Refi,Car Finance,Asset Finance Car Loan - Refi
270,OCF08,Asset Finance Car Loan - Refi,Loans - New,Asset Finance Car Loan - Refi
271,OCF10,Asset Finance Refi IB OP,Car Finance,Asset Finance Car Loan - Refi
272,OCF10,Asset Finance Refi IB OP,Loans - New,Asset Finance Car Loan - Refi
273,OCF16,OCF Super Prime HAL On Page,Car Finance,Asset Finance Car Loan - Acquisition
274,OCF17,OCF AF Car Loan - Acquisition - Rapid Audience,Car Finance,Asset Finance Car Loan - Acquisition
275,OCF27,Asset Finance Car Loan CLOVA REFI,Loans - New,Asset Finance Car Loan - Refi
276,OCF28,Asset Finance Car Loan CLOVA PCH IB,Car Finance,Asset Finance Car Loan - Acqui
277,OCF31,Car Loan Declines into OCF Contextual ,Car Finance,Asset Finance Car Loan - Acquisition
278,OCF33,OCF Comparison Tool Lead On Page,Car Finance,Asset Finance Car Loan - Acqui
